requirement_id,requirement_title,requirement_type,requirement_group,priority_p,moscow,severity,section_path,linked_requirement_ids,obsidian_epic_key,obsidian_epic_link,obsidian_story_key,obsidian_story_link,design_artifact_id,design_artifact_link,test_case_id,test_type,test_link,design_status,dev_status,test_status,overall_status,owner,notes
FR-M2-013,브리핑 편집,FR,M2,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.3 Module 2: 신규 아젠다 발굴 및 이슈 브리핑 > 3.3.4 자동 이슈 브리핑 생성,,,,,,,,,,,,,,,,
FR-M2-014,브리핑 발송,FR,M2,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.3 Module 2: 신규 아젠다 발굴 및 이슈 브리핑 > 3.3.4 자동 이슈 브리핑 생성,,,,,,,,,,,,,,,,
FR-M2-015,전문가 DB 관리,FR,M2,P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.3 Module 2: 신규 아젠다 발굴 및 이슈 브리핑 > 3.3.5 전문가 연계,,,,,,,,,,,,,,,,
FR-M2-016,자동 전문가 매칭,FR,M2,P2,Could have,,3. 기능 요구사항 (Functional Requirements) > 3.3 Module 2: 신규 아젠다 발굴 및 이슈 브리핑 > 3.3.5 전문가 연계,,,,,,,,,,,,,,,,
FR-M2-017,전문가 의견 통합,FR,M2,P2,Could have,,3. 기능 요구사항 (Functional Requirements) > 3.3 Module 2: 신규 아젠다 발굴 및 이슈 브리핑 > 3.3.5 전문가 연계,,,,,,,,,,,,,,,,
FR-M3-001,이슈 등록,FR,M3,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.4 Module 3: 정책플랫폼 이슈 관리 및 모니터링 > 3.4.1 이슈 등록 및 관리,,,,,,,,TC-M3-001,시스템 테스트,,,,,,,
FR-M3-002,이슈 조회,FR,M3,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.4 Module 3: 정책플랫폼 이슈 관리 및 모니터링 > 3.4.1 이슈 등록 및 관리,,,,,,,,,,,,,,,,
FR-M3-003,이슈 검색,FR,M3,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.4 Module 3: 정책플랫폼 이슈 관리 및 모니터링 > 3.4.1 이슈 등록 및 관리,,,,,,,,,,,,,,,,
FR-M3-004,이슈 필터링,FR,M3,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.4 Module 3: 정책플랫폼 이슈 관리 및 모니터링 > 3.4.1 이슈 등록 및 관리,,,,,,,,,,,,,,,,
FR-M3-005,이슈 수정,FR,M3,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.4 Module 3: 정책플랫폼 이슈 관리 및 모니터링 > 3.4.1 이슈 등록 및 관리,,,,,,,,,,,,,,,,
FR-M3-006,이슈 삭제,FR,M3,P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.4 Module 3: 정책플랫폼 이슈 관리 및 모니터링 > 3.4.1 이슈 등록 및 관리,,,,,,,,,,,,,,,,
FR-M3-007,상태 전이,FR,M3,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.4 Module 3: 정책플랫폼 이슈 관리 및 모니터링 > 3.4.2 이슈 상태 관리,,,,,,,,,,,,,,,,
FR-M3-008,상태 변경 알림,FR,M3,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.4 Module 3: 정책플랫폼 이슈 관리 및 모니터링 > 3.4.2 이슈 상태 관리,,,,,,,,,,,,,,,,
FR-M3-009,마일스톤 관리,FR,M3,P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.4 Module 3: 정책플랫폼 이슈 관리 및 모니터링 > 3.4.2 이슈 상태 관리,,,,,,,,,,,,,,,,
FR-M3-010,마일스톤 진행률 계산,FR,M3,P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.4 Module 3: 정책플랫폼 이슈 관리 및 모니터링 > 3.4.2 이슈 상태 관리,,,,,,,,,,,,,,,,
FR-M3-011,댓글 작성,FR,M3,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.4 Module 3: 정책플랫폼 이슈 관리 및 모니터링 > 3.4.3 이슈 협업 기능,,,,,,,,,,,,,,,,
FR-M3-012,멘션 기능,FR,M3,P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.4 Module 3: 정책플랫폼 이슈 관리 및 모니터링 > 3.4.3 이슈 협업 기능,,,,,,,,,,,,,,,,
FR-M3-013,파일 첨부,FR,M3,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.4 Module 3: 정책플랫폼 이슈 관리 및 모니터링 > 3.4.3 이슈 협업 기능,,,,,,,,,,,,,,,,
FR-M3-014,활동 로그,FR,M3,P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.4 Module 3: 정책플랫폼 이슈 관리 및 모니터링 > 3.4.3 이슈 협업 기능,,,,,,,,,,,,,,,,
FR-M3-015,Module 1 연계,FR,M3,P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.4 Module 3: 정책플랫폼 이슈 관리 및 모니터링 > 3.4.4 관련 정보 자동 연계,,,,,,,,,,,,,,,,
FR-M3-016,Module 4 연계,FR,M3,P2,Could have,,3. 기능 요구사항 (Functional Requirements) > 3.4 Module 3: 정책플랫폼 이슈 관리 및 모니터링 > 3.4.4 관련 정보 자동 연계,,,,,,,,,,,,,,,,
FR-M3-017,이슈 현황 대시보드,FR,M3,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.4 Module 3: 정책플랫폼 이슈 관리 및 모니터링 > 3.4.5 대시보드 및 리포팅,,,,,,,,,,,,,,,,
FR-M3-018,간트 차트,FR,M3,P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.4 Module 3: 정책플랫폼 이슈 관리 및 모니터링 > 3.4.5 대시보드 및 리포팅,,,,,,,,,,,,,,,,
FR-M3-019,월간 보고서 생성,FR,M3,P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.4 Module 3: 정책플랫폼 이슈 관리 및 모니터링 > 3.4.5 대시보드 및 리포팅,,,,,,,,,,,,,,,,
FR-M4-001,온톨로지 정의,FR,M4,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.5 Module 4: 이슈 연관 분석 > 3.5.1 지식그래프 구축,,,,,,,,,,,,,,,,
FR-M4-002,자동 엔티티 추출,FR,M4,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.5 Module 4: 이슈 연관 분석 > 3.5.1 지식그래프 구축,,,,,,,,,,,,,,,,
FR-M4-003,관계 추론,FR,M4,P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.5 Module 4: 이슈 연관 분석 > 3.5.1 지식그래프 구축,,,,,,,,,,,,,,,,
FR-M4-004,수동 엔티티/관계 추가,FR,M4,P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.5 Module 4: 이슈 연관 분석 > 3.5.1 지식그래프 구축,,,,,,,,,,,,,,,,
FR-M4-005,이슈 중심 연관정보 조회,FR,M4,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.5 Module 4: 이슈 연관 분석 > 3.5.2 연관 분석,,,,,,,,,,,,,,,,
FR-M4-006,영향 경로 분석 (Path Analysis),FR,M4,P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.5 Module 4: 이슈 연관 분석 > 3.5.2 연관 분석,,,,,,,,,,,,,,,,
FR-M4-007,유사 이슈 발견,FR,M4,P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.5 Module 4: 이슈 연관 분석 > 3.5.2 연관 분석,,,,,,,,,,,,,,,,
FR-M4-008,네트워크 그래프 시각화,FR,M4,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.5 Module 4: 이슈 연관 분석 > 3.5.3 시각화,,,,,,,,,,,,,,,,
FR-M4-009,레이아웃 옵션,FR,M4,P2,Could have,,3. 기능 요구사항 (Functional Requirements) > 3.5 Module 4: 이슈 연관 분석 > 3.5.3 시각화,,,,,,,,,,,,,,,,
FR-M4-010,그래프 필터링,FR,M4,P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.5 Module 4: 이슈 연관 분석 > 3.5.3 시각화,,,,,,,,,,,,,,,,
FR-M5-001,인과관계 지도 (CLD) 작성,FR,M5,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.6 Module 5: 바이오경제 생태계 시스템 다이내믹스 맵 > 3.6.1 SD 모델 구축,,,,,,,,,,,,,,,,
FR-M5-002,Stock-Flow 모델 구현,FR,M5,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.6 Module 5: 바이오경제 생태계 시스템 다이내믹스 맵 > 3.6.1 SD 모델 구축,,,,,,,,,,,,,,,,
FR-M5-003,방정식 정의,FR,M5,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.6 Module 5: 바이오경제 생태계 시스템 다이내믹스 맵 > 3.6.1 SD 모델 구축,,,,,,,,,,,,,,,,
FR-M5-004,파라미터 추정,FR,M5,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.6 Module 5: 바이오경제 생태계 시스템 다이내믹스 맵 > 3.6.1 SD 모델 구축,,,,,,,,,,,,,,,,
FR-M5-005,모델 검증,FR,M5,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.6 Module 5: 바이오경제 생태계 시스템 다이내믹스 맵 > 3.6.1 SD 모델 구축,,,,,,,,,,,,,,,,
FR-M5-006,기본 시뮬레이션,FR,M5,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.6 Module 5: 바이오경제 생태계 시스템 다이내믹스 맵 > 3.6.2 시뮬레이션 실행,,,,,,,,TC-M5-001,성능 테스트,,,,,,,
FR-M5-007,파라미터 조정,FR,M5,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.6 Module 5: 바이오경제 생태계 시스템 다이내믹스 맵 > 3.6.2 시뮬레이션 실행,,,,,,,,,,,,,,,,
FR-M5-008,시뮬레이션 기간 설정,FR,M5,P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.6 Module 5: 바이오경제 생태계 시스템 다이내믹스 맵 > 3.6.2 시뮬레이션 실행,,,,,,,,,,,,,,,,
FR-M5-009,시계열 그래프,FR,M5,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.6 Module 5: 바이오경제 생태계 시스템 다이내믹스 맵 > 3.6.3 결과 시각화,,,,,,,,,,,,,,,,
FR-M5-010,다중 시나리오 비교,FR,M5,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.6 Module 5: 바이오경제 생태계 시스템 다이내믹스 맵 > 3.6.3 결과 시각화,,,,,,,,,,,,,,,,
FR-M5-011,데이터 내보내기,FR,M5,P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.6 Module 5: 바이오경제 생태계 시스템 다이내믹스 맵 > 3.6.3 결과 시각화,,,,,,,,,,,,,,,,
FR-M5-012,일원 민감도 분석,FR,M5,P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.6 Module 5: 바이오경제 생태계 시스템 다이내믹스 맵 > 3.6.4 민감도 분석,,,,,,,,,,,,,,,,
FR-M5-013,Monte Carlo 시뮬레이션,FR,M5,P2,Could have,,3. 기능 요구사항 (Functional Requirements) > 3.6 Module 5: 바이오경제 생태계 시스템 다이내믹스 맵 > 3.6.4 민감도 분석,,,,,,,,,,,,,,,,
FR-M6-001,기술 분류체계 정의,FR,M6,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.7 Module 6: 바이오기술 분야별 기술성숙도(TRL) 대시보드 > 3.7.1 기술 분류 및 데이터 수집,,,,,,,,,,,,,,,,
FR-M6-002,논문/특허 데이터 수집,FR,M6,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.7 Module 6: 바이오기술 분야별 기술성숙도(TRL) 대시보드 > 3.7.1 기술 분류 및 데이터 수집,,,,,,,,,,,,,,,,
FR-M6-003,임상시험 데이터 수집,FR,M6,P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.7 Module 6: 바이오기술 분야별 기술성숙도(TRL) 대시보드 > 3.7.1 기술 분류 및 데이터 수집,,,,,,,,,,,,,,,,
FR-M6-004,제품 출시 데이터 수집,FR,M6,P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.7 Module 6: 바이오기술 분야별 기술성숙도(TRL) 대시보드 > 3.7.1 기술 분류 및 데이터 수집,,,,,,,,,,,,,,,,
FR-M6-005,TRL 자동 추정,FR,M6,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.7 Module 6: 바이오기술 분야별 기술성숙도(TRL) 대시보드 > 3.7.2 TRL 평가,,,,,,,,,,,,,,,,
FR-M6-006,TRL 수동 조정,FR,M6,P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.7 Module 6: 바이오기술 분야별 기술성숙도(TRL) 대시보드 > 3.7.2 TRL 평가,,,,,,,,,,,,,,,,
FR-M6-007,TRL 분포 시각화,FR,M6,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.7 Module 6: 바이오기술 분야별 기술성숙도(TRL) 대시보드 > 3.7.3 대시보드,,,,,,,,,,,,,,,,
FR-M6-008,필터링,FR,M6,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.7 Module 6: 바이오기술 분야별 기술성숙도(TRL) 대시보드 > 3.7.3 대시보드,,,,,,,,,,,,,,,,
FR-M6-009,드릴다운,FR,M6,P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.7 Module 6: 바이오기술 분야별 기술성숙도(TRL) 대시보드 > 3.7.3 대시보드,,,,,,,,,,,,,,,,
FR-M6-010,분기별 TRL 보고서,FR,M6,P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.7 Module 6: 바이오기술 분야별 기술성숙도(TRL) 대시보드 > 3.7.4 보고서,,,,,,,,,,,,,,,,
FR-M7-001,시나리오 입력 인터페이스,FR,M7,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.8 Module 7: 예산 투입 변화에 따른 정책 수단 효과 분석 > 3.8.1 시나리오 설정,,,,,,,,,,,,,,,,
FR-M7-002,사전 정의된 시나리오 제공,FR,M7,P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.8 Module 7: 예산 투입 변화에 따른 정책 수단 효과 분석 > 3.8.1 시나리오 설정,,,,,,,,,,,,,,,,
FR-M7-003,SD 모델 연동,FR,M7,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.8 Module 7: 예산 투입 변화에 따른 정책 수단 효과 분석 > 3.8.2 시뮬레이션 실행,,,,,,,,,,,,,,,,
FR-M7-004,시나리오별 결과 산출,FR,M7,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.8 Module 7: 예산 투입 변화에 따른 정책 수단 효과 분석 > 3.8.2 시뮬레이션 실행,,,,,,,,,,,,,,,,
FR-M7-005,복수 시나리오 동시 실행,FR,M7,P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.8 Module 7: 예산 투입 변화에 따른 정책 수단 효과 분석 > 3.8.2 시뮬레이션 실행,,,,,,,,,,,,,,,,
FR-M7-006,시나리오 비교 표,FR,M7,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.8 Module 7: 예산 투입 변화에 따른 정책 수단 효과 분석 > 3.8.3 결과 비교 및 시각화,,,,,,,,,,,,,,,,
FR-M7-007,시계열 그래프,FR,M7,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.8 Module 7: 예산 투입 변화에 따른 정책 수단 효과 분석 > 3.8.3 결과 비교 및 시각화,,,,,,,,,,,,,,,,
FR-M7-008,레이더 차트,FR,M7,P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.8 Module 7: 예산 투입 변화에 따른 정책 수단 효과 분석 > 3.8.3 결과 비교 및 시각화,,,,,,,,,,,,,,,,
