requirement_id,requirement_title,linked_requirement_ids,design_artifact_id,design_artifact_link,test_case_id,test_type,test_link,owner,status,notes
NFR-PERF-001,응답 시간,,,,,,,,,
NFR-PERF-002,동시 사용자,,,,,,,,,
NFR-PERF-003,데이터 처리량,,,,,,,,,
NFR-PERF-004,데이터베이스 쿼리 최적화,,,,,,,,,
NFR-PERF-005,확장성,,,,,,,,,
NFR-AVAIL-001,시스템 가동률,,,,,,,,,
NFR-AVAIL-002,백업,,,,,,,,,
NFR-AVAIL-003,재해 복구,,,,,,,,,
NFR-AVAIL-004,데이터 복구 시점,,,,,,,,,
NFR-SEC-001,인증,,,,,,,,,
NFR-SEC-002,권한 관리,,,,,,,,,
NFR-SEC-003,데이터 암호화,,,,,,,,,
NFR-SEC-004,비밀번호 정책,,,,,,,,,
NFR-SEC-005,세션 관리,,,,,,,,,
NFR-SEC-006,감사 로그,,,,,,,,,
NFR-SEC-007,침입 탐지,,,,,,,,,
NFR-USAB-001,직관적 UI,,,,,,,,,
NFR-USAB-002,반응형 디자인,,,,,,,,,
NFR-USAB-003,접근성,,,,,,,,,
NFR-USAB-004,다국어 지원,,,,,,,,,
NFR-MAINT-001,모듈화,,,,,,,,,
NFR-MAINT-002,코드 품질,,,,,,,,,
NFR-MAINT-003,문서화,,,,,,,,,
NFR-MAINT-004,로깅,,,,,,,,,
NFR-MAINT-005,모니터링,,,,,,,,,
NFR-COMPAT-001,브라우저 지원,,,,,,,,,
NFR-COMPAT-002,외부 시스템 연동,,,,,,,,,
NFR-COMPAT-003,데이터 포맷,,,,,,,,,
NFR-COMP-001,개인정보보호법 준수,,,,,,,,,
NFR-COMP-002,전자정부법 준수,,,,,,,,,
NFR-COMP-003,GDPR 준수,,,,,,,,,
DR-QUAL-001,정확성 (Accuracy),,,,,,,,,
DR-QUAL-002,완전성 (Completeness),,,,,,,,,
DR-QUAL-003,일관성 (Consistency),,,,,,,,,
DR-QUAL-004,시의성 (Timeliness),,,,,,,,,
DR-QUAL-005,중복 제거 (Deduplication),,,,,,,,,
DR-ARCH-001,원본 보관,,,,,,,,,
DR-ARCH-002,처리된 데이터,,,,,,,,,
DR-ARCH-003,로그 보관,,,,,,,,,
DR-ARCH-004,백업 보관,,,,,,,,,
DR-GOV-001,데이터 소유권,,,,,,,,,
DR-GOV-002,메타데이터 관리,,,,,,,,,
DR-GOV-003,데이터 사전,,,,,,,,,
IR-UI-001,웹 기반,,,,,,,,,
IR-UI-002,반응형 디자인,,,,,,,,,
IR-UI-003,일관된 디자인,,,,,,,,,
IR-UI-004,접근성,,,,,,,,,
IR-API-001,RESTful API,,,,,,,,,
IR-API-002,API 문서화,,,,,,,,,
IR-API-003,API 버저닝,,,,,,,,,
IR-INTEG-001,NTIS 연동,,,,,,,,,
IR-INTEG-002,산업통계 연동,,,,,,,,,
IR-INTEG-003,식약처 연동,,,,,,,,,
IR-NOTIF-001,SMTP 서버,,,,,,,,,
IR-NOTIF-002,Slack 웹훅,,,,,,,,,
CONST-TECH-001,클라우드 플랫폼,,,,,,,,,
CONST-TECH-002,프로그래밍 언어,,,,,,,,,
CONST-TECH-003,프론트엔드 프레임워크,,,,,,,,,
CONST-TECH-004,데이터베이스,,,,,,,,,
CONST-BUD-001,총 사업비,,,,,,,,,
CONST-BUD-002,클라우드 비용,,,,,,,,,
CONST-SCHED-001,개발 기간,,,,,,,,,
CONST-SCHED-002,Phase 1 완료,,,,,,,,,
CONST-ORG-001,내부 인력,,,,,,,,,
CONST-ORG-002,외부 의존성,,,,,,,,,
CONST-LEG-001,개인정보보호,,,,,,,,,
CONST-LEG-002,저작권,,,,,,,,,
