id,type,group,number,title,raw_tags,priority_p,moscow,severity,section_path,source_file
FR-M1-008,FR,M1,008,API 연동,"P1, Should have",P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.2 웹 크롤링 및 데이터 수집,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M1-009,FR,M1,009,크롤링 오류 처리,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.2 웹 크롤링 및 데이터 수집,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M1-010,FR,M1,010,텍스트 추출,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.3 문서 처리 및 분류,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M1-011,FR,M1,011,다국어 처리,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.3 문서 처리 및 분류,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M1-012,FR,M1,012,자동 문서 분류,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.3 문서 처리 및 분류,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M1-013,FR,M1,013,수동 분류 수정,"P1, Should have",P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.3 문서 처리 및 분류,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M1-014,FR,M1,014,엔티티 추출,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.3 문서 처리 및 분류,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M1-015,FR,M1,015,메타데이터 자동 생성,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.4 메타데이터 관리,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M1-016,FR,M1,016,메타데이터 검색,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.4 메타데이터 관리,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M1-017,FR,M1,017,실시간 알림,"P1, Should have",P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.5 알림 서비스,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M1-018,FR,M1,018,일일 다이제스트,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.5 알림 서비스,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M1-019,FR,M1,019,주간 이슈 브리핑,"P1, Should have",P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.5 알림 서비스,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M1-020,FR,M1,020,알림 구독 관리,"P1, Should have",P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.5 알림 서비스,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M1-021,FR,M1,021,원본 파일 저장,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.6 저장 및 검색,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M1-022,FR,M1,022,전문 검색,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.6 저장 및 검색,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M1-023,FR,M1,023,고급 검색,"P1, Should have",P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.6 저장 및 검색,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M1-024,FR,M1,024,검색 결과 정렬,"P1, Should have",P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.6 저장 및 검색,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M1-025,FR,M1,025,유사 문서 추천,"P2, Could have",P2,Could have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.6 저장 및 검색,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M2-001,FR,M2,001,자동 토픽 추출,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.3 Module 2: 신규 아젠다 발굴 및 이슈 브리핑 > 3.3.1 토픽 모델링,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M2-002,FR,M2,002,신규 토픽 탐지,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.3 Module 2: 신규 아젠다 발굴 및 이슈 브리핑 > 3.3.1 토픽 모델링,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M2-003,FR,M2,003,토픽 라벨링,"P1, Should have",P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.3 Module 2: 신규 아젠다 발굴 및 이슈 브리핑 > 3.3.1 토픽 모델링,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M2-004,FR,M2,004,토픽 시계열 분석,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.3 Module 2: 신규 아젠다 발굴 및 이슈 브리핑 > 3.3.1 토픽 모델링,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M2-005,FR,M2,005,급상승 키워드 탐지,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.3 Module 2: 신규 아젠다 발굴 및 이슈 브리핑 > 3.3.2 키워드 트렌드 분석,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M2-006,FR,M2,006,신조어 탐지,"P1, Should have",P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.3 Module 2: 신규 아젠다 발굴 및 이슈 브리핑 > 3.3.2 키워드 트렌드 분석,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M2-007,FR,M2,007,키워드 동시 출현 분석,"P2, Could have",P2,Could have,,3. 기능 요구사항 (Functional Requirements) > 3.3 Module 2: 신규 아젠다 발굴 및 이슈 브리핑 > 3.3.2 키워드 트렌드 분석,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M2-008,FR,M2,008,국가별 토픽 비교,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.3 Module 2: 신규 아젠다 발굴 및 이슈 브리핑 > 3.3.3 국가별/시기별 아젠다 추적,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M2-009,FR,M2,009,선도 국가 식별,"P1, Should have",P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.3 Module 2: 신규 아젠다 발굴 및 이슈 브리핑 > 3.3.3 국가별/시기별 아젠다 추적,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M2-010,FR,M2,010,GPT 기반 브리핑 생성,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.3 Module 2: 신규 아젠다 발굴 및 이슈 브리핑 > 3.3.4 자동 이슈 브리핑 생성,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M2-011,FR,M2,011,브리핑 분량 조절,"P1, Should have",P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.3 Module 2: 신규 아젠다 발굴 및 이슈 브리핑 > 3.3.4 자동 이슈 브리핑 생성,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M2-012,FR,M2,012,브리핑 검증 워크플로우,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.3 Module 2: 신규 아젠다 발굴 및 이슈 브리핑 > 3.3.4 자동 이슈 브리핑 생성,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M2-013,FR,M2,013,브리핑 편집,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.3 Module 2: 신규 아젠다 발굴 및 이슈 브리핑 > 3.3.4 자동 이슈 브리핑 생성,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M2-014,FR,M2,014,브리핑 발송,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.3 Module 2: 신규 아젠다 발굴 및 이슈 브리핑 > 3.3.4 자동 이슈 브리핑 생성,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M2-015,FR,M2,015,전문가 DB 관리,"P1, Should have",P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.3 Module 2: 신규 아젠다 발굴 및 이슈 브리핑 > 3.3.5 전문가 연계,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M2-016,FR,M2,016,자동 전문가 매칭,"P2, Could have",P2,Could have,,3. 기능 요구사항 (Functional Requirements) > 3.3 Module 2: 신규 아젠다 발굴 및 이슈 브리핑 > 3.3.5 전문가 연계,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M2-017,FR,M2,017,전문가 의견 통합,"P2, Could have",P2,Could have,,3. 기능 요구사항 (Functional Requirements) > 3.3 Module 2: 신규 아젠다 발굴 및 이슈 브리핑 > 3.3.5 전문가 연계,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M3-001,FR,M3,001,이슈 등록,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.4 Module 3: 정책플랫폼 이슈 관리 및 모니터링 > 3.4.1 이슈 등록 및 관리,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M3-002,FR,M3,002,이슈 조회,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.4 Module 3: 정책플랫폼 이슈 관리 및 모니터링 > 3.4.1 이슈 등록 및 관리,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M3-003,FR,M3,003,이슈 검색,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.4 Module 3: 정책플랫폼 이슈 관리 및 모니터링 > 3.4.1 이슈 등록 및 관리,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M3-004,FR,M3,004,이슈 필터링,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.4 Module 3: 정책플랫폼 이슈 관리 및 모니터링 > 3.4.1 이슈 등록 및 관리,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M3-005,FR,M3,005,이슈 수정,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.4 Module 3: 정책플랫폼 이슈 관리 및 모니터링 > 3.4.1 이슈 등록 및 관리,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M3-006,FR,M3,006,이슈 삭제,"P1, Should have",P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.4 Module 3: 정책플랫폼 이슈 관리 및 모니터링 > 3.4.1 이슈 등록 및 관리,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M3-007,FR,M3,007,상태 전이,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.4 Module 3: 정책플랫폼 이슈 관리 및 모니터링 > 3.4.2 이슈 상태 관리,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M3-008,FR,M3,008,상태 변경 알림,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.4 Module 3: 정책플랫폼 이슈 관리 및 모니터링 > 3.4.2 이슈 상태 관리,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M3-009,FR,M3,009,마일스톤 관리,"P1, Should have",P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.4 Module 3: 정책플랫폼 이슈 관리 및 모니터링 > 3.4.2 이슈 상태 관리,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M3-010,FR,M3,010,마일스톤 진행률 계산,"P1, Should have",P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.4 Module 3: 정책플랫폼 이슈 관리 및 모니터링 > 3.4.2 이슈 상태 관리,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M3-011,FR,M3,011,댓글 작성,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.4 Module 3: 정책플랫폼 이슈 관리 및 모니터링 > 3.4.3 이슈 협업 기능,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M3-012,FR,M3,012,멘션 기능,"P1, Should have",P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.4 Module 3: 정책플랫폼 이슈 관리 및 모니터링 > 3.4.3 이슈 협업 기능,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M3-013,FR,M3,013,파일 첨부,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.4 Module 3: 정책플랫폼 이슈 관리 및 모니터링 > 3.4.3 이슈 협업 기능,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M3-014,FR,M3,014,활동 로그,"P1, Should have",P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.4 Module 3: 정책플랫폼 이슈 관리 및 모니터링 > 3.4.3 이슈 협업 기능,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M3-015,FR,M3,015,Module 1 연계,"P1, Should have",P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.4 Module 3: 정책플랫폼 이슈 관리 및 모니터링 > 3.4.4 관련 정보 자동 연계,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M3-016,FR,M3,016,Module 4 연계,"P2, Could have",P2,Could have,,3. 기능 요구사항 (Functional Requirements) > 3.4 Module 3: 정책플랫폼 이슈 관리 및 모니터링 > 3.4.4 관련 정보 자동 연계,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M3-017,FR,M3,017,이슈 현황 대시보드,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.4 Module 3: 정책플랫폼 이슈 관리 및 모니터링 > 3.4.5 대시보드 및 리포팅,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M3-018,FR,M3,018,간트 차트,"P1, Should have",P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.4 Module 3: 정책플랫폼 이슈 관리 및 모니터링 > 3.4.5 대시보드 및 리포팅,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M3-019,FR,M3,019,월간 보고서 생성,"P1, Should have",P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.4 Module 3: 정책플랫폼 이슈 관리 및 모니터링 > 3.4.5 대시보드 및 리포팅,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M4-001,FR,M4,001,온톨로지 정의,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.5 Module 4: 이슈 연관 분석 > 3.5.1 지식그래프 구축,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M4-002,FR,M4,002,자동 엔티티 추출,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.5 Module 4: 이슈 연관 분석 > 3.5.1 지식그래프 구축,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M4-003,FR,M4,003,관계 추론,"P1, Should have",P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.5 Module 4: 이슈 연관 분석 > 3.5.1 지식그래프 구축,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M4-004,FR,M4,004,수동 엔티티/관계 추가,"P1, Should have",P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.5 Module 4: 이슈 연관 분석 > 3.5.1 지식그래프 구축,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M4-005,FR,M4,005,이슈 중심 연관정보 조회,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.5 Module 4: 이슈 연관 분석 > 3.5.2 연관 분석,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M4-006,FR,M4,006,영향 경로 분석 (Path Analysis),"P1, Should have",P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.5 Module 4: 이슈 연관 분석 > 3.5.2 연관 분석,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M4-007,FR,M4,007,유사 이슈 발견,"P1, Should have",P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.5 Module 4: 이슈 연관 분석 > 3.5.2 연관 분석,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M4-008,FR,M4,008,네트워크 그래프 시각화,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.5 Module 4: 이슈 연관 분석 > 3.5.3 시각화,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M4-009,FR,M4,009,레이아웃 옵션,"P2, Could have",P2,Could have,,3. 기능 요구사항 (Functional Requirements) > 3.5 Module 4: 이슈 연관 분석 > 3.5.3 시각화,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M4-010,FR,M4,010,그래프 필터링,"P1, Should have",P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.5 Module 4: 이슈 연관 분석 > 3.5.3 시각화,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M5-001,FR,M5,001,인과관계 지도 (CLD) 작성,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.6 Module 5: 바이오경제 생태계 시스템 다이내믹스 맵 > 3.6.1 SD 모델 구축,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M5-002,FR,M5,002,Stock-Flow 모델 구현,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.6 Module 5: 바이오경제 생태계 시스템 다이내믹스 맵 > 3.6.1 SD 모델 구축,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M5-003,FR,M5,003,방정식 정의,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.6 Module 5: 바이오경제 생태계 시스템 다이내믹스 맵 > 3.6.1 SD 모델 구축,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M5-004,FR,M5,004,파라미터 추정,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.6 Module 5: 바이오경제 생태계 시스템 다이내믹스 맵 > 3.6.1 SD 모델 구축,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M5-005,FR,M5,005,모델 검증,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.6 Module 5: 바이오경제 생태계 시스템 다이내믹스 맵 > 3.6.1 SD 모델 구축,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M5-006,FR,M5,006,기본 시뮬레이션,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.6 Module 5: 바이오경제 생태계 시스템 다이내믹스 맵 > 3.6.2 시뮬레이션 실행,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M5-007,FR,M5,007,파라미터 조정,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.6 Module 5: 바이오경제 생태계 시스템 다이내믹스 맵 > 3.6.2 시뮬레이션 실행,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M5-008,FR,M5,008,시뮬레이션 기간 설정,"P1, Should have",P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.6 Module 5: 바이오경제 생태계 시스템 다이내믹스 맵 > 3.6.2 시뮬레이션 실행,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M5-009,FR,M5,009,시계열 그래프,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.6 Module 5: 바이오경제 생태계 시스템 다이내믹스 맵 > 3.6.3 결과 시각화,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M5-010,FR,M5,010,다중 시나리오 비교,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.6 Module 5: 바이오경제 생태계 시스템 다이내믹스 맵 > 3.6.3 결과 시각화,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M5-011,FR,M5,011,데이터 내보내기,"P1, Should have",P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.6 Module 5: 바이오경제 생태계 시스템 다이내믹스 맵 > 3.6.3 결과 시각화,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M5-012,FR,M5,012,일원 민감도 분석,"P1, Should have",P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.6 Module 5: 바이오경제 생태계 시스템 다이내믹스 맵 > 3.6.4 민감도 분석,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M5-013,FR,M5,013,Monte Carlo 시뮬레이션,"P2, Could have",P2,Could have,,3. 기능 요구사항 (Functional Requirements) > 3.6 Module 5: 바이오경제 생태계 시스템 다이내믹스 맵 > 3.6.4 민감도 분석,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M6-001,FR,M6,001,기술 분류체계 정의,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.7 Module 6: 바이오기술 분야별 기술성숙도(TRL) 대시보드 > 3.7.1 기술 분류 및 데이터 수집,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M6-002,FR,M6,002,논문/특허 데이터 수집,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.7 Module 6: 바이오기술 분야별 기술성숙도(TRL) 대시보드 > 3.7.1 기술 분류 및 데이터 수집,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M6-003,FR,M6,003,임상시험 데이터 수집,"P1, Should have",P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.7 Module 6: 바이오기술 분야별 기술성숙도(TRL) 대시보드 > 3.7.1 기술 분류 및 데이터 수집,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M6-004,FR,M6,004,제품 출시 데이터 수집,"P1, Should have",P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.7 Module 6: 바이오기술 분야별 기술성숙도(TRL) 대시보드 > 3.7.1 기술 분류 및 데이터 수집,/workspace/docs/requirements/requirements-spec-v1.0.md
